timestamp;inx;sampleNum;samplePeriodPress;breathRate;filterType;dataType;Samples
1579604570;180;755;75;210;7;1;2518
1579604570;184;755;75;210;7;1;2519
1579604570;188;755;75;210;7;1;2525
1579604570;192;755;75;210;7;1;2533
1579604570;196;755;75;210;7;1;2544
1579604571;576;756;75;210;7;1;2555
1579604571;580;756;75;210;7;1;2559
1579604571;584;756;75;210;7;1;2569
1579604571;588;756;75;210;7;1;2580
1579604571;592;756;75;210;7;1;2587
1579604571;596;756;75;210;7;1;2595
1579604571;600;756;75;210;7;1;2601
1579604571;604;756;75;210;7;1;2606
1579604571;608;756;75;210;7;1;2608
1579604571;612;756;75;210;7;1;2608
1579604571;616;756;75;210;7;1;2605
1579604571;620;756;75;210;7;1;2600
1579604571;624;756;75;210;7;1;2595
1579604572;19;757;75;177;7;1;2589
1579604572;23;757;75;177;7;1;2584
1579604572;27;757;75;177;7;1;2579
1579604572;31;757;75;177;7;1;2572
1579604572;35;757;75;177;7;1;2566
1579604572;39;757;75;177;7;1;2562
1579604572;43;757;75;177;7;1;2556
1579604572;47;757;75;177;7;1;2551
1579604572;51;757;75;177;7;1;2546
1579604572;55;757;75;177;7;1;2541
1579604572;59;757;75;177;7;1;2534
1579604572;63;757;75;177;7;1;2528
1579604572;67;757;75;177;7;1;2526
1579604573;555;758;75;177;7;1;2524
1579604573;559;758;75;177;7;1;2525
1579604573;563;758;75;177;7;1;2531
1579604573;567;758;75;177;7;1;2539
1579604573;571;758;75;177;7;1;2544
1579604573;575;758;75;177;7;1;2552
1579604573;579;758;75;177;7;1;2563
1579604573;583;758;75;177;7;1;2571
1579604573;587;758;75;177;7;1;2579
1579604573;591;758;75;177;7;1;2586
1579604573;595;758;75;177;7;1;2592
1579604573;599;758;75;177;7;1;2594
1579604573;603;758;75;177;7;1;2597
1579604574;19;759;75;266;7;1;2601
1579604574;23;759;75;266;7;1;2600
1579604574;27;759;75;266;7;1;2597
1579604574;31;759;75;266;7;1;2594
1579604574;35;759;75;266;7;1;2589
1579604574;39;759;75;266;7;1;2584
1579604574;43;759;75;266;7;1;2578
1579604574;47;759;75;266;7;1;2574
1579604574;51;759;75;266;7;1;2570
1579604574;55;759;75;266;7;1;2566
1579604574;59;759;75;266;7;1;2562
1579604574;63;759;75;266;7;1;2557
1579604574;67;759;75;266;7;1;2552
1579604575;555;760;75;266;7;1;2546
1579604575;559;760;75;266;7;1;2541
1579604575;563;760;75;266;7;1;2536
1579604575;567;760;75;266;7;1;2531
1579604575;571;760;75;266;7;1;2528
1579604575;575;760;75;266;7;1;2525
1579604575;579;760;75;266;7;1;2523
1579604575;583;760;75;266;7;1;2525
1579604575;587;760;75;266;7;1;2534
1579604575;591;760;75;266;7;1;2546
1579604575;595;760;75;266;7;1;2557
1579604575;599;760;75;266;7;1;2568
1579604575;603;760;75;266;7;1;2579
1579604576;555;761;75;266;7;1;2588
1579604576;559;761;75;266;7;1;2593
1579604576;563;761;75;266;7;1;2602
1579604576;567;761;75;266;7;1;2613
1579604576;571;761;75;266;7;1;2622
1579604576;575;761;75;266;7;1;2630
1579604576;579;761;75;266;7;1;2638
1579604576;583;761;75;266;7;1;2643
1579604576;587;761;75;266;7;1;2641
1579604576;591;761;75;266;7;1;2635
1579604576;595;761;75;266;7;1;2628
1579604576;599;761;75;266;7;1;2621
1579604576;603;761;75;266;7;1;2614
